Label,Text
non_depressive,বলব ভাই বিনোদন আরেক নাম কবিরাজ
depressive,আমি সময় অনুমান করি আমি অন্যের মতো হতে পারছি না।আমি সময় অনুমান করি আমি যেটা প্রয়োজন তাতে আমি সেটা করতে পারবো
depressive,আমি নিজের মধ্যে একটি সামান্য প্রেমের অনুভূতি মানতে চাই কিন্তু পাওয়া যাচ্ছে না।টাকা থাকলে শান্তিতে মরাও যায় ভাই। এটাই সত্যি
non_depressive,ভাই ওইটা ইউটিউবার ইউটিউবাল হবে
depressive,শেখ হাসিনার বাংলাদেশের উন্নয়নের অবস্থা প্যারালাইসিস চিকিৎসার অবস্থা একই কথা।
depressive,আমি নিজেও সমস্যায় ভুগছি।।।কোনো কিছুই ভালো লাগে নিয়ে চিন্তা করি কেন খারাপ থাকে নিজেও বুঝতে পারি
non_depressive,বিপক্ষে মতন একটা লোকের শটগান যদি থাকতো তাহলে বাংলাদেশ আরো আগে উন্নত হতো
depressive, আজব একটা মানুষ তুমি ! দুঃখের গল্প বললেও তুমি কষ্ট পাও । সুখের গল্প বললেও দেখি কষ্ট পাও । কারণ ঐ সব গল্পে তো আমি থাকি না । থাকে অন্য কেউ । 
non_depressive,ওনাকে আইনের আওতায় নিয়ে কঠিন শাস্তি দিতে হবে
non_depressive,থেকে ওয়াদা করলাম জিবন থাকতে টিকা দেব আল্লাহ উপর বিশ্বাশ রেখে সময় চলব
depressive,মনে পড়ে গেল সেই চিলেকোঠায় থাকার কোথা
depressive,জাতি মুক্তিযুদ্ধ করে দেশ স্বাধীন করেছে সেটা আমার বিশ্বাস করতে কষ্ট তার অন্যতম কারণ হচ্ছে যখন চাপিয়ে দেওয়া হচ্ছে তাই আমরা গ্রহণ করছি।
depressive,মানুষটার জন্য কাঁদতে কাঁদতে এখন চোখে পানি আসেনা
non_depressive,অনেক উপকার হইল নিউজ জানলে জিবনে অনেকটা পিছিয়ে পরতাম
non_depressive,এরা কারা প্রথম দেখলাম চিনিনা এদের এরা করলো করলো তাতে মিডিয়ার আসে যায় সমস্যা হলে থানা দেখবে
non_depressive,বক্স অফিস নাকি গুলিস্তানে বাস কাউন্টার।
